Timestamp,"What is the ""job family"" of your role?",How would you describe your role?,Name of your company / employer,Which industry are you in?,How large is your organisation?,How models does your organisation have in production? This can be a guesstimate and doesn't have to be an accurate number.,"In 12 months from today, how many models does your organisation plan to have in production by then? This can be a guesstimate and doesn't have to be an accurate number.",Which areas or modality of machine learning / science does your team work on?,Which use-cases does your team use machine learning for?,Which of the following MLOps components do you have available/use across your organisation?,"For Model Registry and/or Experiment tracking, what tool do you use the most? Skip this question if you don't use any.","For Feature Store, what tool do you use the most? Skip this question if you don't use any.","For Vector Database, what tool do you use the most? Skip this question if you don't use any.","For ETL / Workflow Orchestrator, what tool do you use the most? Skip this question if you don't use any.","For Model Training and Experimentation Platform, what tool do you use the most? Skip this question if you don't use any.","For Central Data Platform / Data Lake, what tool do you use the most? Skip this question if you don't use any.","For Real Time Model Serving, what tool do you use the most? Skip this question if you don't use any.","When productionising a machine learning model, does your infrastructure enable any of the following deployment methods?","How long does it take your team to productionise a model (including data ingestion, etc)? ",Select which of the following your organisation has set up:,Which machine library do you use the most?,Which cloud platform do you use the most?,What approximate percentage of your models run real-time INFERENCE instead of batch?,Select the top 3 biggest challenges that you face when productionising your machine learning models,How satisfied are you with the tooling that you use for machine learning specifically?,"How important is machine learning in your organisation, defined by the actual investment and support?",How mature is security in the context of machine learning in your team?,How do you self identify?,What is your age?,What is your country of residence?,Is your organization in compliance for upcoming AI regulations?,"For Model Monitoring, what tool do you use the most? Skip this question if you don't use any.","For Managed Foundation Model / LLM Api Services, what tool do you use the most? Skip this question if you don't use any.",Score,Email address
17/09/2024 20:44:31,Machine Learning Engineer,Individual Contributor (Junior to Senior),,,"250-1,000 employees",,,"LLMs, Recommender Systems, Search, Text / NLP (Non-LLM)","Marketing Intelligence, Recommender systems",,MLFlow,,,Airflow,,,FastAPI/Flask Wrapper,CI/CD for continuous deployment,,Data Platform / Data Engineering Organisation,Dspy,Amazon Web Services,,"Access to relevant data for training, Showcasing business impact and business value, Machine learning monitoring and observability",,,,,,,,,OpenAI,,
20/09/2024 10:37:36,Data Scientist,Individual Contributor (Junior to Senior),Heraeus,Technology,"5,000-50,000 employees",10-20,21-100,"Image / Computer Vision, LLMs, Tabular, Time Series / Forecasting",defect detection,,Weights & Biases,Dataiku,,Dataiku,Azure ML Studio,Snowflake,Triton Inference Server,"Development, Staging and Production Environments",Less than 6 months,"Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation, AI Inventory (Keeping track of all AI usecases and models)",PyTorch/Lightning/Fast.ai,Azure,Between 50% and 90%,"Lack of specialised engineers, Machine learning monitoring and observability, Governance and domain risks",,,,Male,30-34,Germany,,Custom Built In-house tool,Azure AI,,
22/09/2024 17:58:12,Data Scientist,Manager,,Healthcare,10-50 employees,0,2-5,Text / NLP (Non-LLM),Risk,,MLFlow,FEAST,Qdrant,Dbt,Amazon SageMaker,AWS / Lakeformation,,CI/CD for continuous deployment,More than a year,,XGBoost,Amazon Web Services,,"Inconsistency of training and experimentation environments, Access to relevant data for training, Governance and domain risks",,,,,,,,WhyLabs,,,
22/09/2024 18:16:52,Data Scientist,Individual Contributor (Staff+),AIS,Telecommunications,"5,000-50,000 employees",10-20,21-100,"LLMs, Recommender Systems, Tabular, Text / NLP (Non-LLM), Time Series / Forecasting","Marketing Intelligence, Recommender systems, Fraud, Risk",,MLFlow,Custom Built In-house tool,Custom Built In-house tool,Custom Built In-house tool,Databricks,Deltalake,FastAPI/Flask Wrapper,"A/B Tests for Models, Progressive Rollouts, CI/CD for continuous deployment, Development, Staging and Production Environments",Less than 6 months,"Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation, AI Risk & Governance Function",Catboost,Azure,Less than 10%,"Access to relevant data for training, Showcasing business impact and business value",,,,Male,25-29,Thailand,,"Deepcheck, NannyML",Azure AI,,
22/09/2024 19:20:06,Machine Learning Engineer,Individual Contributor (Junior to Senior),,Retail,50-250 employees,2-5,5-9,"Image / Computer Vision, Search, Text / NLP (Non-LLM)",Search,,MLFlow,,Milvus,Argo Workflows,Amazon SageMaker,,Nvidia Triton Inference Server,,Less than a month,,PyTorch/Lightning/Fast.ai,Amazon Web Services,Between 50% and 90%,"Lack of specialised engineers, Building production-grade machine learning and data pipelines",,,,Male,35-39,Turkey,,,,,
22/09/2024 21:25:48,Data Scientist,Individual Contributor (Staff+),,Energy,Less than 10 employees,0,1,RL,Optimization,,Custom Built In-house tool,Custom Built In-house tool,None,Custom Built In-house tool,Custom Built In-house tool,None,Custom Built In-house tool,,Less than a month,Central Machine Learning Platform / Team,Stable-Baselines3,Amazon Web Services,More than 90%,"Inconsistency of training and experimentation environments, Building production-grade machine learning and data pipelines, Machine learning monitoring and observability",,,,Male,25-29,US,,Custom Built In-house tool,None,,
22/09/2024 23:48:32,Machine Learning Engineer,Individual Contributor (Junior to Senior),,Technology,50-250 employees,5-9,10-20,"LLMs, Search, Text / NLP (Non-LLM)",Search,,MLFlow,,Milvus,Argo Workflows,Custom Built In-house tool,,Custom Built In-house tool,"Progressive Rollouts, CI/CD for continuous deployment, Development, Staging and Production Environments",Less than 3 months,Central Machine Learning Platform / Team,PyTorch/Lightning/Fast.ai,Google Cloud Platform,More than 90%,"Inconsistency of training and experimentation environments, Machine learning monitoring and observability, Machine learning security",,,,Male,25-29,United States,,,OpenAI,,
23/09/2024 00:12:18,Machine Learning Engineer,Individual Contributor (Staff+),Carta,Financial services,"1,000-5,000 employees",1000+,1000+,Tabular,"Marketing Intelligence, Pricing",,Weights & Biases,,LanceDB,Metaflow,Custom Built In-house tool,,FastAPI/Flask Wrapper,,Less than 3 months,Data Platform / Data Engineering Organisation,TensorFlow,Amazon Web Services,Between 10% and 30%,"Gaps in tooling and support for model productionisation, Building production-grade machine learning and data pipelines",,,,Male,30-34,United States,,"Metaflow + Evidently, altair + W&B",OpenAI,,
23/09/2024 01:21:05,Product Manager,Director/VP,,Telecommunications,"250-1,000 employees",2-5,10-20,"LLMs, Text / NLP (Non-LLM)","Recommender systems, Agentic systems, agents assists",,Custom Built In-house tool,,Milvus,Custom Built In-house tool,,Snowflake,FastAPI/Flask Wrapper,"Development, Staging and Production Environments",Less than a month,Central Machine Learning Platform / Team,PyTorch/Lightning/Fast.ai,Amazon Web Services,More than 90%,"Inconsistency of training and experimentation environments, Access to relevant data for training, Showcasing business impact and business value",,,,Male,40-44,,,,Azure AI,,
23/09/2024 07:02:07,Software Engineer,Manager,,Financial services,50-250 employees,21-100,21-100,"LLMs, Text / NLP (Non-LLM)",Fraud,,Weights & Biases,FEAST,Milvus,Argo Workflows,Google Cloud Vertex AI,Snowflake,FastAPI/Flask Wrapper,A/B Tests for Models,Less than a year,"Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation",PyTorch/Lightning/Fast.ai,Google Cloud Platform,Between 50% and 90%,"Inconsistency of training and experimentation environments, Gaps in tooling and support for model productionisation, Access to relevant data for training",,,,Male,25-29,Vietnamese,,Neptune AI,OpenAI,,
23/09/2024 08:23:30,Software Engineer,Individual Contributor (Staff+),,Retail,10-50 employees,10-20,21-100,Image / Computer Vision,Fraud,,Clearml,Custom Built In-house tool,,Custom Built In-house tool,,,Custom Built In-house tool,"A/B Tests for Models, CI/CD for continuous deployment",Less than a month,"Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation",PyTorch/Lightning/Fast.ai,Google Cloud Platform,More than 90%,"Inconsistency of training and experimentation environments, Showcasing business impact and business value, Governance and domain risks",,,,Male,40-44,Germany ,,,,,
23/09/2024 08:51:33,Data Scientist,Manager,,Financial services,"250-1,000 employees",21-100,21-100,"LLMs, Tabular",Fraud,,Spreadsheets,,,,Custom Built In-house tool,Custom Built In-house tool,Custom Built In-house tool,"Development, Staging and Production Environments",Less than a year,Data Platform / Data Engineering Organisation,Sklearn,Amazon Web Services,More than 90%,"Gaps in tooling and support for model productionisation, Access to relevant data for training, Machine learning monitoring and observability",,,,Male,35-39,Spain,,Custom Built In-house tool,OpenAI,,
23/09/2024 10:30:58,Machine Learning Engineer,Individual Contributor (Staff+),,Energy,"5,000-50,000 employees",100-1000,1000+,Time Series / Forecasting,Risk,,MLFlow,,,,Azure ML Studio,Deltalake,FastAPI/Flask Wrapper,"CI/CD for continuous deployment, Development, Staging and Production Environments",Less than 6 months,Data Platform / Data Engineering Organisation,Sklearn,Azure,Less than 10%,"Inconsistency of training and experimentation environments, Gaps in tooling and support for model productionisation, Showcasing business impact and business value",,,,Male,35-39,Netherlands ,,Azure ML ,,,
23/09/2024 10:51:34,Machine Learning Engineer,Manager,N/A,Media & Entertainment,"250-1,000 employees",2-5,5-9,"LLMs, Tabular","Marketing Intelligence, Support automation",,clearml,,,Airflow,clearml,,FastAPI/Flask Wrapper,"Development, Staging and Production Environments",Less than 3 months,"Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation",Catboost,Amazon Web Services,Between 10% and 30%,"Lack of specialised engineers, Showcasing business impact and business value, Machine learning monitoring and observability",,,,Male,35-39,Estonia,,,OpenAI,,
23/09/2024 11:27:25,Data Scientist,Individual Contributor (Junior to Senior),,Travel,"250-1,000 employees",10-20,21-100,"Recommender Systems, Search","Search, Recommender systems",,Vertex AI Experiments,,,Airflow,Google Cloud Vertex AI,GCP / BigLake,,,,Data Platform / Data Engineering Organisation,PyTorch/Lightning/Fast.ai,Google Cloud Platform,Less than 10%,"Lack of specialised engineers, Building production-grade machine learning and data pipelines",,,,Male,,,,,,,
23/09/2024 16:01:09,Data Engineer,Individual Contributor (Staff+),Granum Technologies LLC,Financial services,Less than 10 employees,1,2-5,"Causal Inference, Search, Time Series / Forecasting","Demand Forecasting, Search, Fraud, Risk",,MLFlow,,,Prefect,Databricks,Deltalake,Databricks,"CI/CD for continuous deployment, Development, Staging and Production Environments",Less than 3 months,A Developer Productivity Team which also covers machine learning,TensorFlow,Azure,Less than 10%,"Access to relevant data for training, Showcasing business impact and business value, Building production-grade machine learning and data pipelines",,,,Male,30-34,United States,,,OpenAI,,
23/09/2024 20:02:03,Machine Learning Engineer,Individual Contributor (Junior to Senior),,Technology,Less than 10 employees,2-5,5-9,"Image / Computer Vision, LLMs","Search, Recommender systems",,Data Version Control (DVC),,Pgvector,Prefect,Custom Built In-house tool,Custom Built In-house tool,SkyPilot ,"A/B Tests for Models, Progressive Rollouts, CI/CD for continuous deployment",Less than a week,"A Developer Productivity Team which also covers machine learning, Central Machine Learning Platform / Team",PyTorch/Lightning/Fast.ai,Digital Ocean ,Between 50% and 90%,"Showcasing business impact and business value, Building production-grade machine learning and data pipelines, Machine learning security",,,,Male,Prefer not to share,USA,,Evidently AI,Custom Built In-house tool,,
23/09/2024 23:13:22,Machine Learning Engineer,Individual Contributor (Junior to Senior),Willhaben,Marketplaces,"250-1,000 employees",1,2-5,"Recommender Systems, Search, Text / NLP (Non-LLM)","Search, Recommender systems",,MLFlow,,Opensearch ,Argo Workflows,,,FastAPI/Flask Wrapper,"A/B Tests for Models, Progressive Rollouts, Development, Staging and Production Environments",Less than 6 months,A Developer Productivity Team which also covers machine learning,PyTorch/Lightning/Fast.ai,Amazon Web Services,More than 90%,"Lack of specialised engineers, Showcasing business impact and business value, Building production-grade machine learning and data pipelines",,,,,25-29,Austria,,,Anthropic,,
24/09/2024 09:53:22,Machine Learning Engineer,Manager,,Technology,"250-1,000 employees",21-100,21-100,"LLMs, Search, Text / NLP (Non-LLM)",Search,,MLFlow,Custom Built In-house tool,NA,Airflow,Amazon SageMaker,Deltalake,BentoML,"Canary Deployments, Progressive Rollouts, CI/CD for continuous deployment, Development, Staging and Production Environments",Less than a week,"Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation",PyTorch/Lightning/Fast.ai,Amazon Web Services,Between 50% and 90%,"Gaps in tooling and support for model productionisation, Lack of specialised engineers, Building production-grade machine learning and data pipelines",,,,Male,35-39,US,,Custom Built In-house tool,NA,,
24/09/2024 10:01:35,MLOps Engineer,Manager,Eneco,Energy,"1,000-5,000 employees",1000+,1000+,"LLMs, Tabular, Text / NLP (Non-LLM), Time Series / Forecasting","Demand Forecasting, Marketing Intelligence, Pricing",,MLFlow,selft built / Databricks,,Airflow,Databricks,Snowflake,FastAPI/Flask Wrapper,"Progressive Rollouts, CI/CD for continuous deployment, Development, Staging and Production Environments","This is a hard question... going from 3-6 months now, to less than a week when I'm done building the platforms :) ","Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation",XGBoost,Azure,Between 10% and 30%,"Showcasing business impact and business value, Building production-grade machine learning and data pipelines, Machine learning monitoring and observability",,,,Male,40-44,Netherlands,,Custom Built In-house tool,Azure AI,,
24/09/2024 10:24:58,Product Manager,Manager,YData,Technology,10-50 employees,2-5,5-9,"Causal Inference, Tabular, Time Series / Forecasting",Synthetic data generation,,Custom Built In-house tool,,,Argo Workflows,Custom Built In-house tool,,,"A/B Tests for Models, CI/CD for continuous deployment",Less than 3 months,Data Platform / Data Engineering Organisation,Sklearn,Amazon Web Services,Less than 10%,"Lack of specialised engineers, Lack of specialised data scientists",,,,Female,30-34,USA,,,,,
24/09/2024 10:40:18,Machine Learning Engineer,Individual Contributor (Staff+),,Financial services,"1,000-5,000 employees",10-20,21-100,"LLMs, Tabular, Time Series / Forecasting","Fraud, Risk",,,,azure ai search,,Databricks,Snowflake,FastAPI/Flask Wrapper,,Less than 3 months,,Perpetual,Amazon Web Services,Between 10% and 30%,"Gaps in tooling and support for model productionisation, Lack of specialised data scientists, Showcasing business impact and business value",,,,Male,35-39,TÃ¼rkiye,,Perpetual ML Suite,Azure AI,,
24/09/2024 11:24:48,Machine Learning Engineer,Individual Contributor (Junior to Senior),,Technology,"250-1,000 employees",21-100,21-100,"LLMs, Recommender Systems, Tabular, Text / NLP (Non-LLM)","Demand Forecasting, Recommender systems, Fraud, Risk, Pricing",,MLFlow,None,None,Airflow,Custom Built In-house tool,GCP / BigLake,FastAPI/Flask Wrapper,Canary Deployments,Less than 3 months,Central Machine Learning Platform / Team,Sklearn,Google Cloud Platform,Less than 10%,"Showcasing business impact and business value, Machine learning monitoring and observability",,,,,35-39,,,Evidently AI,OpenAI,,
24/09/2024 11:29:46,,Director/VP,,Technology,Less than 10 employees,2-5,2-5,LLMs,"Marketing Intelligence, Strategy",,Custom Built In-house tool,Custom Built In-house tool,Pinecone,NiFi,Custom Built In-house tool,Custom Built In-house tool,FastAPI/Flask Wrapper,,Less than a month,"A Developer Productivity Team which also covers machine learning, Data Platform / Data Engineering Organisation, AI Inventory (Keeping track of all AI usecases and models)",PyTorch/Lightning/Fast.ai,Google Cloud Platform,Less than 10%,"Inconsistency of training and experimentation environments, Machine learning monitoring and observability, Machine learning security",,,,,,,,,Anthropic,,
24/09/2024 17:08:19,Machine Learning Engineer,Individual Contributor (Staff+),Accenture,Technology,"50,000+ employees",1000+,1000+,"Search, Tabular, Time Series / Forecasting","Demand Forecasting, Fraud, Risk",,MLFlow,NA,NA,Airflow,Databricks,Snowflake,FastAPI/Flask Wrapper,"Development, Staging and Production Environments",Less than 3 months,"Data Platform / Data Engineering Organisation, AI Risk & Governance Function",Sklearn,Amazon Web Services,Less than 10%,"Inconsistency of training and experimentation environments, Gaps in tooling and support for model productionisation",,,,Male,25-29,India,,Custom Built In-house tool,Custom Built In-house tool,,
24/09/2024 17:51:35,MLOps Engineer,Individual Contributor (Junior to Senior),,Financial services,50-250 employees,5-9,5-9,"Tabular, Time Series / Forecasting","Risk, Pricing",,MLFlow,Custom Built In-house tool,,Airflow,Custom Built In-house tool,,FastAPI/Flask Wrapper,"CI/CD for continuous deployment, Development, Staging and Production Environments",Less than a month,Central Machine Learning Platform / Team,Sklearn,Amazon Web Services,Less than 10%,"Inconsistency of training and experimentation environments, Access to relevant data for training",,,,Male,45-49,Colombia,,Custom Built In-house tool,,,
24/09/2024 20:22:40,,,,Technology,"250-1,000 employees",21-100,100-1000,LLMs,"Search, Recommender systems",,MLFlow,Databricks,Databricks,Databricks Workflows,Databricks,,Databricks,,Less than 3 months,,PyTorch/Lightning/Fast.ai,Amazon Web Services,,"Lack of specialised engineers, Lack of specialised data scientists, Showcasing business impact and business value",,,,,,,,,,,
24/09/2024 21:20:21,Data Scientist,Individual Contributor (Staff+),"Not allowed to tell, large travel company ;)",Transportation & warehousing,"5,000-50,000 employees",10-20,21-100,"LLMs, Recommender Systems, Time Series / Forecasting","Demand Forecasting, Fraud, Risk",,Snowflake,Snowflake,,Snowflake,Snowflake,Snowflake,Custom Built In-house tool,"Canary Deployments, A/B Tests for Models, Progressive Rollouts, CI/CD for continuous deployment, Development, Staging and Production Environments",Less than a week,Data Platform / Data Engineering Organisation,XGBoost,Amazon Web Services,Less than 10%,Showcasing business impact and business value,,,,Male,35-39,Germany,,,Snowflake,,
26/09/2024 02:24:28,Business / Domain Practitioner,Director/VP,AXA ,Insurance,"50,000+ employees",21-100,100-1000,"Causal Inference, Image / Computer Vision, LLMs, Recommender Systems, Text / NLP (Non-LLM), Time Series / Forecasting","Demand Forecasting, Recommender systems, Risk, Climate Modelling, Geospatial AI",,Custom Built In-house tool,Custom Built In-house tool,,Airflow,Databricks,AWS / Lakeformation,Databricks,"CI/CD for continuous deployment, Development, Staging and Production Environments",Less than a month,"Data Platform / Data Engineering Organisation, AI Risk & Governance Function, AI Inventory (Keeping track of all AI usecases and models)",PyTorch/Lightning/Fast.ai,Amazon Web Services,Less than 10%,"Gaps in tooling and support for model productionisation, Access to relevant data for training, Governance and domain risks",,,,Male,45-49,United Kingdom,,Fiddler AI,Custom Built In-house tool,,